fsm_execution_ts_sec,current_state,path_ts_sec,map_obj_ts_sec,sig-Phi_0,sig-Phi_1,sig-Intent_R,data-Intent_R-test_result,data-Intent_R-stat_value,data-Intent_R-low_level_indicator_value,sig-Intent_F,data-Intent_F-test_result,data-Intent_F-stat_value,data-Intent_F-low_level_indicator_value,sig-Intent_L,data-Intent_L-test_result,data-Intent_L-stat_value,data-Intent_L-low_level_indicator_value,sig-DWB_0,data-DWB_0-test_result,data-DWB_0-stat_value,data-DWB_0-low_level_indicator_value,sig-DWB_1,data-DWB_1-test_result,data-DWB_1-stat_value,data-DWB_1-low_level_indicator_value,sig-RWB_0,data-RWB_0-test_result,data-RWB_0-stat_value,data-RWB_0-low_level_indicator_value,sig-RWB_1,data-RWB_1-test_result,data-RWB_1-stat_value,data-RWB_1-low_level_indicator_value,data-RWB_1-reached_waiting_box,data-RWB_1-hit_point_x_ego_frame,data-RWB_1-hit_point_y_ego_frame,data-RWB_1-distance,sig-CEWB_0,data-CEWB_0-test_result,data-CEWB_0-stat_value,data-CEWB_0-low_level_indicator_value,sig-CEWB_1,data-CEWB_1-test_result,data-CEWB_1-stat_value,data-CEWB_1-low_level_indicator_value,sig-ENLI_1,data-ENLI_1-test_result,data-ENLI_1-stat_value,data-ENLI_1-low_level_indicator_value,data-ENLI_1-stop_line_under_the_ego,data-ENLI_1-distance_from_ego_to_nearest_SL,data-ENLI_1-distance_from_rear_to_nearest_SL,data-ENLI_1-hit_point_x_ego_frame,data-ENLI_1-hit_point_y_ego_frame,sig-HALF_EXLI_1,data-HALF_EXLI_1-test_result,data-HALF_EXLI_1-stat_value,data-HALF_EXLI_1-low_level_indicator_value,data-HALF_EXLI_1-crosswalk_under_the_ego,data-HALF_EXLI_1-zebra_hit,data-HALF_EXLI_1-empty_crosswalk_hit,sig-FULL_EXLI_1,data-FULL_EXLI_1-total_stages,data-FULL_EXLI_1-current_stage,data-FULL_EXLI_1-waiting_for_up_state,data-FULL_EXLI_1-last_evaluation,data-FULL_EXLI_1-crosswalk_under_the_ego,data-FULL_EXLI_1-zebra_hit,data-FULL_EXLI_1-empty_crosswalk_hit,sig-RIF_0,data-RIF_0-test_result,data-RIF_0-stat_value,data-RIF_0-low_level_indicator_value,sig-RIF_1,data-RIF_1-test_result,data-RIF_1-stat_value,data-RIF_1-low_level_indicator_value
1731634934.640353,Intersection,1731634934.244006,1731634934.453703,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731634934.674328,IntersectionApproaching,1731634934.244006,1731634934.453703,0,-,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,48.464928,50.414684,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731634934.707751,IntersectionApproaching,1731634934.320262,1731634934.453703,0,-,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,48.464928,50.414684,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731634934.741305,IntersectionApproaching,1731634934.453703,1731634934.453703,0,-,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,48.464928,50.414684,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731634934.774628,IntersectionApproaching,1731634934.453703,1731634934.594380,0,-,0,0,0.000000,0,0,0,0.000000,0,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0.000000,1,0,0,0.000000,0,0,0,0.000000,0,0,48.464924,50.412407,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731634934.807888,IntersectionApproaching,1731634934.453703,1731634934.594380,0,-,0,0,-999.999939,0,0,0,-999.999939,0,1,1,999.999939,1,0,0,-999.999939,0,1,1,999.999939,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,999.999939,1,0,0,-999.999939,0,0,0,-999.999939,0,0,48.464924,50.412407,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731634934.841096,IntersectionWaitingOnSL,1731634934.453703,1731634934.594380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731634934.874529,IntersectionWaitingOnSL,1731634934.453703,1731634934.594380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731634934.907934,IntersectionWaitingOnSL,1731634934.453703,1731634934.736861,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1731634934.941496,IntersectionWaitingOnSL,1731634934.587148,1731634934.797580,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-999.999939,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
