timestamp,target_speed,filtered_speed,current_speed,brake,throttle,current_steering,current_throttle_torque,current_brake_torque,steer_command
1726037731.487484,37.075001,37.075001,2.930000,0,4,-5.230000,1796.000000,0.000000,-5.100000
1726037731.497560,37.075001,37.075001,3.070000,0,230,-6.990000,1766.000000,0.000000,-5.150000
1726037731.507593,37.075001,37.075001,3.070000,0,230,-6.990000,1766.000000,0.000000,-5.150000
1726037731.517637,37.075001,37.075001,3.220000,0,196,-7.330000,1732.000000,0.000000,-5.150000
1726037731.527706,37.075001,37.075001,3.220000,0,196,-7.330000,1732.000000,0.000000,-5.150000
1726037731.537819,37.075001,37.075001,3.360000,0,160,-6.940000,1696.000000,0.000000,-5.150000
1726037731.547917,37.075001,37.075001,3.360000,0,160,-6.940000,1696.000000,0.000000,-5.150000
1726037731.557934,37.075001,37.075001,3.500000,0,120,-6.240000,1656.000000,0.000000,-5.150000
1726037731.568006,37.075001,37.075001,3.500000,0,120,-6.240000,1656.000000,0.000000,-5.150000
1726037731.578035,37.075001,37.075001,3.640000,0,78,-5.690000,1614.000000,0.000000,-5.150000
1726037731.588094,37.075001,37.075001,3.640000,0,78,-5.690000,1614.000000,0.000000,-5.150000
1726037731.598152,37.075001,37.075001,3.640000,0,78,-5.690000,1614.000000,0.000000,-5.150000
1726037731.608224,37.075001,37.075001,3.770000,0,38,-5.320000,1574.000000,0.000000,-7.900000
1726037731.618342,37.075001,37.075001,3.910000,0,252,-5.390000,1532.000000,0.000000,-7.900000
1726037731.628344,37.075001,37.075001,3.910000,0,252,-5.390000,1532.000000,0.000000,-7.900000
1726037731.638462,37.075001,37.075001,3.910000,0,252,-5.390000,1532.000000,0.000000,-7.900000
1726037731.648479,37.075001,37.075001,4.050000,0,214,-7.710000,1494.000000,0.000000,-10.640000
1726037731.658542,37.075001,37.075001,4.050000,0,214,-7.710000,1494.000000,0.000000,-10.640000
1726037731.668603,37.075001,37.075001,4.180000,0,176,-7.700000,1456.000000,0.000000,-10.640000
1726037731.678674,37.075001,37.075001,4.300000,0,142,-9.670000,1422.000000,0.000000,-10.640000
1726037731.688730,37.075001,37.075001,4.300000,0,142,-9.670000,1422.000000,0.000000,-10.640000
1726037731.698777,37.075001,37.075001,4.300000,0,142,-9.670000,1422.000000,0.000000,-10.640000
1726037731.708905,37.075001,37.075001,4.420000,0,110,-11.250000,1390.000000,0.000000,-9.900000
1726037731.718983,37.075001,37.075001,4.540000,0,82,-11.260000,1362.000000,0.000000,-9.900000
1726037731.729022,37.075001,37.075001,4.540000,0,82,-11.260000,1362.000000,0.000000,-9.900000
1726037731.739061,37.075001,37.075001,4.660000,0,56,-11.430000,1336.000000,0.000000,-8.570000
1726037731.749154,37.075001,37.075001,4.660000,0,56,-11.430000,1336.000000,0.000000,-8.570000
1726037731.759207,37.075001,37.075001,4.770000,0,34,-11.260000,1314.000000,0.000000,-8.570000
1726037731.769261,37.075001,37.075001,4.770000,0,34,-11.260000,1314.000000,0.000000,-8.570000
1726037731.779334,37.075001,37.075001,4.880000,0,14,-9.880000,1294.000000,0.000000,-8.570000
1726037731.789409,37.075001,37.075001,4.880000,0,14,-9.880000,1294.000000,0.000000,-8.570000
1726037731.799452,37.075001,37.075001,4.990000,0,250,-8.830000,1274.000000,0.000000,-8.570000
1726037731.809543,37.075001,37.075001,4.990000,0,250,-8.830000,1274.000000,0.000000,-8.570000
1726037731.819658,37.075001,37.075001,5.090000,0,234,-8.650000,1258.000000,0.000000,-8.570000
