time_stamp,latitude,longitude,height,speed,sensor_time_counter
1726037732.102384,35.45175397,139.63636531,42.622595,nan,0
1726037732.113585,35.45175389,139.63636550,42.622268,nan,0
1726037732.123610,35.45175380,139.63636568,42.621920,nan,0
1726037732.133910,35.45175372,139.63636587,42.621557,nan,0
1726037732.143827,35.45175364,139.63636605,42.621186,nan,0
1726037732.153702,35.45175356,139.63636624,42.620809,nan,0
1726037732.162299,35.45175348,139.63636643,42.620420,nan,0
1726037732.172038,35.45175339,139.63636662,42.620020,nan,0
1726037732.182163,35.45175331,139.63636681,42.619605,nan,0
1726037732.192333,35.45175322,139.63636701,42.619182,nan,0
1726037732.202168,35.45175314,139.63636720,42.618756,nan,0
1726037732.213783,35.45175305,139.63636740,42.618318,nan,0
1726037732.223706,35.45175297,139.63636760,42.617870,nan,0
1726037732.233227,35.45175288,139.63636779,42.617426,nan,0
1726037732.243769,35.45175279,139.63636799,42.616978,nan,0
1726037732.253532,35.45175270,139.63636820,42.616514,nan,0
1726037732.262647,35.45175261,139.63636840,42.616040,nan,0
1726037732.272278,35.45175252,139.63636860,42.615554,nan,0
1726037732.282066,35.45175243,139.63636881,42.615052,nan,0
1726037732.292177,35.45175234,139.63636902,42.614551,nan,0
1726037732.302585,35.45175225,139.63636923,42.614065,nan,0
1726037732.313744,35.45175215,139.63636944,42.613578,nan,0
1726037732.323552,35.45175206,139.63636965,42.613087,nan,0
1726037732.333460,35.45175196,139.63636986,42.612607,nan,0
1726037732.343579,35.45175187,139.63637008,42.612134,nan,0
1726037732.353767,35.45175177,139.63637029,42.611674,nan,0
1726037732.362257,35.45175168,139.63637051,42.611249,nan,0
1726037732.372350,35.45175158,139.63637073,42.610846,nan,0
1726037732.381825,35.45175148,139.63637095,42.610446,nan,0
1726037732.392383,35.45175138,139.63637117,42.610059,nan,0
1726037732.402379,35.45175128,139.63637140,42.609687,nan,0
1726037732.414008,35.45175118,139.63637162,42.609322,nan,0
1726037732.423784,35.45175108,139.63637185,42.608972,nan,0
1726037732.433760,35.45175098,139.63637208,42.608650,nan,0
1726037732.443566,35.45175088,139.63637231,42.608337,nan,0
1726037732.453530,35.45175077,139.63637254,42.608028,nan,0
1726037732.462548,35.45175067,139.63637278,42.607740,nan,0
1726037732.472241,35.45175057,139.63637301,42.607466,nan,0
1726037732.482396,35.45175046,139.63637325,42.607196,nan,0
1726037732.492039,35.45175036,139.63637349,42.606947,nan,0
1726037732.502286,35.45175025,139.63637373,42.606721,nan,0
1726037732.514393,35.45175015,139.63637397,42.606499,nan,0
1726037732.524801,35.45175004,139.63637421,42.606282,nan,0
1726037732.536638,35.45174975,139.63637422,42.629900,nan,0
1726037732.543285,35.45174964,139.63637447,42.629712,nan,0
1726037732.553761,35.45174953,139.63637471,42.629527,nan,0
1726037732.562220,35.45174943,139.63637496,42.629346,nan,0
1726037732.572414,35.45174932,139.63637521,42.629166,nan,0
1726037732.582355,35.45174921,139.63637547,42.628992,nan,0
1726037732.591782,35.45174910,139.63637572,42.628826,nan,0
1726037732.602405,35.45174898,139.63637597,42.628656,nan,0
