fsm_execution_ts_sec,current_state,path_ts_sec,map_obj_ts_sec,sig-Phi_0,sig-Phi_1,sig-Intent_R,sig-Intent_F,sig-Intent_L,sig-DWB_0,sig-DWB_1,sig-RWB_0,sig-RWB_1,data-RWB_1-reached_waiting_box,data-RWB_1-hit_point_x_ego_frame,data-RWB_1-hit_point_y_ego_frame,data-RWB_1-distance,sig-CEWB_0,sig-CEWB_1,sig-ENLI_1,data-ENLI_1-stop_line_under_the_ego,data-ENLI_1-distance_from_ego_to_nearest_SL,data-ENLI_1-distance_from_rear_to_nearest_SL,data-ENLI_1-hit_point_x_ego_frame,data-ENLI_1-hit_point_y_ego_frame,sig-HALF_EXLI_1,data-HALF_EXLI_1-crosswalk_under_the_ego,data-HALF_EXLI_1-zebra_hit,data-HALF_EXLI_1-empty_crosswalk_hit,data-HALF_EXLI_1-second_stage,data-HALF_EXLI_1-required_num_sequential_hits,data-HALF_EXLI_1-registered_num_sequential_hits,sig-FULL_EXLI_1,data-FULL_EXLI_1-crosswalk_under_the_ego,data-FULL_EXLI_1-zebra_hit,data-FULL_EXLI_1-empty_crosswalk_hit,data-FULL_EXLI_1-second_stage,data-FULL_EXLI_1-required_num_sequential_hits,data-FULL_EXLI_1-registered_num_sequential_hits,data-FULL_EXLI_1-crosswalk_under_the_ego,data-FULL_EXLI_1-zebra_hit,data-FULL_EXLI_1-empty_crosswalk_hit,data-FULL_EXLI_1-second_stage,data-FULL_EXLI_1-required_num_sequential_hits,data-FULL_EXLI_1-registered_num_sequential_hits,sig-RIF_0,sig-RIF_1
1729486471.611965,IntersectionApproaching,1729486471.463898,1729486471.543309,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.804234,13.581804,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.645357,IntersectionApproaching,1729486471.537231,1729486471.543309,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.804234,13.581804,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.678857,IntersectionApproaching,1729486471.537231,1729486471.611031,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.760695,13.538251,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.712233,IntersectionApproaching,1729486471.537231,1729486471.672487,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.729897,13.507455,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.745543,IntersectionApproaching,1729486471.605344,1729486471.672487,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.729897,13.507455,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.778968,IntersectionApproaching,1729486471.666240,1729486471.741317,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.705454,13.483014,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.812438,IntersectionApproaching,1729486471.666240,1729486471.741317,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.705454,13.483014,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.845753,IntersectionApproaching,1729486471.735556,1729486471.808594,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.688778,13.466330,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.879128,IntersectionApproaching,1729486471.735556,1729486471.808594,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.688778,13.466330,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.912531,IntersectionApproaching,1729486471.803825,1729486471.873457,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.640045,13.417567,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.945891,IntersectionApproaching,1729486471.803825,1729486471.873457,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.640045,13.417567,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486471.979352,IntersectionApproaching,1729486471.866789,1729486471.942211,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.602347,13.379849,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.013019,IntersectionApproaching,1729486471.866789,1729486471.942211,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.602347,13.379849,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.046283,IntersectionApproaching,1729486471.936451,1729486472.006546,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.574463,13.351961,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.079568,IntersectionApproaching,1729486471.936451,1729486472.006546,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.574463,13.351961,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.112931,IntersectionApproaching,1729486472.001427,1729486472.075960,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.552649,13.330148,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.146362,IntersectionApproaching,1729486472.001427,1729486472.075960,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.552649,13.330148,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.179763,IntersectionApproaching,1729486472.070363,1729486472.141196,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.537152,13.314649,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.213156,IntersectionApproaching,1729486472.070363,1729486472.141196,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.537152,13.314649,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.246561,IntersectionApproaching,1729486472.134932,1729486472.206735,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.526208,13.303698,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.280030,IntersectionApproaching,1729486472.134932,1729486472.206735,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.526208,13.303698,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.313322,IntersectionApproaching,1729486472.200418,1729486472.278398,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.517897,13.295378,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1729486472.346707,IntersectionApproaching,1729486472.200418,1729486472.278398,0,-,0,1,0,1,0,-,-,-,-,-,-,1,0,0,false,10.517897,13.295378,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
