time_stamp,data_value
1726037731.789529,-8.830000
1726037731.799600,-8.830000
1726037731.809660,-8.650000
1726037731.819724,-8.650000
1726037731.829788,-8.370000
1726037731.839851,-8.370000
1726037731.849914,-8.630000
1726037731.859975,-8.630000
1726037731.870034,-8.740000
1726037731.880098,-8.740000
1726037731.890168,-8.850000
1726037731.900233,-8.850000
1726037731.910312,-8.810000
1726037731.920369,-8.810000
1726037731.930435,-8.730000
1726037731.940500,-8.730000
1726037731.950563,-8.670000
1726037731.961002,-8.670000
1726037731.971068,-8.680000
1726037731.981170,-8.680000
1726037731.991195,-8.700000
1726037732.001259,-8.700000
1726037732.011326,-8.700000
1726037732.021386,-8.700000
1726037732.031451,-8.690000
1726037732.041522,-8.690000
1726037732.051583,-8.680000
1726037732.061640,-8.680000
1726037732.071808,-8.680000
1726037732.081836,-8.680000
1726037732.091896,-8.680000
1726037732.101966,-8.680000
1726037732.112016,-8.680000
1726037732.122094,-8.680000
1726037732.132140,-10.220000
1726037732.142227,-10.220000
1726037732.152278,-10.080000
1726037732.162337,-10.080000
1726037732.172411,-9.080000
1726037732.182466,-9.080000
1726037732.192523,-7.610000
1726037732.202588,-7.610000
1726037732.212651,-6.900000
1726037732.222707,-6.900000
1726037732.232770,-5.430000
1726037732.242839,-5.430000
1726037732.252903,-3.860000
1726037732.262958,-3.860000
1726037732.273023,-3.600000
1726037732.283077,-3.600000
1726037732.293140,-4.090000
1726037732.303201,-4.090000
1726037732.313262,-4.650000
1726037732.323341,-4.650000
1726037732.333407,-5.140000
1726037732.343462,-5.140000
1726037732.353698,-5.430000
1726037732.363756,-5.430000
1726037732.373849,-5.400000
1726037732.383904,-5.400000
1726037732.393967,-5.280000
1726037732.403998,-5.280000
1726037732.414177,-5.190000
1726037732.424232,-5.190000
1726037732.434316,-5.230000
1726037732.444365,-5.230000
1726037732.454433,-5.320000
1726037732.464491,-5.320000
1726037732.474560,-6.610000
1726037732.484616,-6.610000
1726037732.494674,-8.290000
1726037732.504748,-8.290000
1726037732.514815,-8.520000
1726037732.524873,-8.520000
1726037732.534911,-9.560000
1726037732.544971,-9.560000
1726037732.555024,-10.140000
1726037732.565110,-10.140000
1726037732.575167,-8.740000
1726037732.585231,-8.740000
1726037732.595294,-6.260000
1726037732.605349,-6.260000
1726037732.615409,-5.210000
1726037732.625423,-5.210000
1726037732.635489,-1.690000
1726037732.645550,-1.690000
1726037732.655607,-0.810000
1726037732.665673,-0.810000
1726037732.675732,-0.090000
1726037732.685788,-0.090000
1726037732.695848,-0.490000
1726037732.705928,-0.490000
