timestamp,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,status,is_optional_available,est_latitude,est_longitude,est_attitude_psi,est_longitudinal_slope,est_cross_slope,corrected_velocity,corrected_yawrate,odometry_x,odometry_y,odometry_rz
1.72604e+09,-1.0376,0.0183105,-9.44824,-0.00287621,0.0197074,-0.000106526,1175,1,35.4517,139.636,-601.115,0,0,0,0.00124419,373.25,912.23,-3.6
1.72604e+09,-1.20239,0.137329,-9.43298,-0.0036219,0.0221575,0.000852212,3223,1,35.4517,139.636,-601.116,0,0,0,0.00071156,373.25,912.23,-3.6
1.72604e+09,-1.27869,-0.0366211,-9.53979,-0.00500674,0.0252468,0.000426106,1175,1,35.4517,139.636,-601.116,0,0,0,0.00071156,373.25,912.23,-3.6
1.72604e+09,-1.37634,0.106812,-9.63135,-0.00436758,0.0284426,-0.000426106,1175,1,35.4517,139.636,-601.116,0,0,0,7.24009e-05,373.25,912.23,-3.6
1.72604e+09,-1.49536,0.10376,-9.67102,-0.00532632,0.0297209,0.000639159,1175,1,35.4517,139.636,-601.124,0,0,0,0.00104098,373.25,912.23,-3.6
1.72604e+09,-1.52283,-0.0183105,-9.82361,-0.00479369,0.0295078,0.00138484,5271,1,35.4517,139.636,-601.124,0,0,0,0.000614871,373.25,912.23,-3.6
1.72604e+09,-1.58997,0.0701904,-9.8938,-0.00575243,0.0305731,0.000106526,3223,1,35.4517,139.636,-601.124,0,0,0,-0.000237341,373.25,912.23,-3.6
1.72604e+09,-1.6449,0.109863,-10.0006,-0.00617853,0.0295078,0.000319579,1175,1,35.4517,139.636,-601.124,0,0,0,-0.000237341,373.25,912.23,-3.6
1.72604e+09,-1.67236,-0.0152588,-10.0739,-0.00585895,0.0262055,0.000852212,1175,1,35.4517,139.636,-601.128,0,0,0,0.00157361,373.25,912.23,-3.6
1.72604e+09,-1.75171,0.0305176,-10.0861,-0.00660464,0.024288,0.000106526,1175,1,35.4517,139.636,-601.132,0,0,0,0.000301616,373.25,912.23,-3.6
1.72604e+09,-1.76697,0.0610352,-10.144,-0.00426106,0.0213053,0.00117179,1175,1,35.4517,139.636,-601.133,0,0,0,0.000514668,373.25,912.23,-3.6
1.72604e+09,-1.80359,0.0244141,-10.1715,-0.00553938,0.018216,0.00149137,3223,1,35.4517,139.636,-601.134,0,0,0,0.0010473,373.25,912.23,-3.6
1.72604e+09,-1.78833,0.00915527,-10.1868,-0.00596548,0.0152333,0.000958738,1175,1,35.4517,139.636,-601.134,0,0,0,0.0010473,373.25,912.23,-3.6
1.72604e+09,-1.79138,0.0610352,-10.1837,-0.00681769,0.01012,0,1175,1,35.4517,139.636,-601.137,0,0,0,0.00136688,373.25,912.23,-3.6
1.72604e+09,-1.8219,0.0366211,-10.1685,-0.00703075,0.00735032,0.000745685,1175,1,35.4517,139.636,-601.143,0,0,0,0.00169162,373.25,912.23,-3.6
1.72604e+09,-1.828,0.0305176,-10.1196,-0.00703075,0.0052198,0.000426106,1175,1,35.4517,139.636,-601.144,0,0,0.13421,0.00115899,373.25,912.23,-3.6
1.72604e+09,-1.828,0.0640869,-10.0922,-0.0072438,0.00138484,-0.000319579,3223,1,35.4517,139.636,-601.144,0,0,0.188465,0.000200254,373.25,912.23,-3.6
