timestamp_seconds,car_pose_front_axle_x_meters,car_pose_front_axle_y_meters,car_pose_yaw_degrees
1726037732.372350,-112.268,286.198,-118.381
1726037732.381825,-112.279,286.177,-118.382
1726037732.392383,-112.290,286.157,-118.383
1726037732.402379,-112.301,286.137,-118.383
1726037732.414008,-112.312,286.116,-118.385
1726037732.423784,-112.323,286.096,-118.387
1726037732.433760,-112.335,286.075,-118.389
1726037732.443566,-112.346,286.054,-118.389
1726037732.453530,-112.358,286.033,-118.394
1726037732.462548,-112.369,286.012,-118.398
1726037732.472241,-112.381,285.991,-118.401
1726037732.482396,-112.393,285.969,-118.407
1726037732.492039,-112.404,285.948,-118.412
1726037732.502286,-112.416,285.926,-118.414
1726037732.514393,-112.428,285.904,-118.421
1726037732.524801,-112.440,285.882,-118.429
1726037732.536638,-112.473,285.882,-118.433
1726037732.543285,-112.485,285.860,-118.440
1726037732.553761,-112.497,285.838,-118.447
1726037732.562220,-112.510,285.815,-118.453
1726037732.572414,-112.522,285.792,-118.461
1726037732.582355,-112.535,285.770,-118.467
1726037732.591782,-112.547,285.747,-118.475
1726037732.602405,-112.560,285.724,-118.484
1726037732.613621,-112.573,285.701,-118.491
1726037732.623705,-112.586,285.678,-118.497
1726037732.623705,-112.586,285.678,-118.497
1726037732.643876,-112.612,285.631,-118.511
1726037732.653224,-112.625,285.607,-118.520
1726037732.662695,-112.638,285.583,-118.527
1726037732.672401,-112.651,285.559,-118.529
1726037732.682250,-112.664,285.536,-118.536
1726037732.692407,-112.678,285.511,-118.538
1726037732.701894,-112.691,285.487,-118.540
1726037732.713803,-112.705,285.463,-118.544
1726037732.723554,-112.718,285.438,-118.542
1726037732.733712,-112.732,285.413,-118.544
1726037732.743798,-112.745,285.389,-118.542
1726037732.753336,-112.759,285.364,-118.539
1726037732.762499,-112.773,285.339,-118.538
1726037732.772248,-112.786,285.313,-118.533
1726037732.782508,-112.800,285.288,-118.532
1726037732.782508,-112.800,285.288,-118.532
1726037732.802130,-112.828,285.237,-118.523
1726037732.813609,-112.842,285.211,-118.521
1726037732.823893,-112.856,285.185,-118.516
1726037732.833913,-112.870,285.159,-118.515
1726037732.843634,-112.885,285.133,-118.512
1726037732.853431,-112.899,285.107,-118.512
1726037732.862888,-112.913,285.081,-118.513
1726037732.882239,-112.942,285.028,-118.512
1726037732.882239,-112.942,285.028,-118.512
1726037732.902319,-112.972,284.974,-118.513
1726037732.902319,-112.972,284.974,-118.513
1726037732.913621,-112.986,284.947,-118.518
1726037732.923756,-113.001,284.920,-118.517
1726037732.933743,-113.016,284.893,-118.522
1726037732.933743,-113.016,284.893,-118.522
1726037732.962018,-113.061,284.811,-118.525
1726037732.972274,-113.076,284.783,-118.526
1726037732.972274,-113.076,284.783,-118.526
1726037732.992284,-113.106,284.728,-118.529
1726037733.002383,-113.121,284.699,-118.529
1726037733.002383,-113.121,284.699,-118.529
1726037733.014565,-113.137,284.671,-118.529
1726037733.023530,-113.152,284.643,-118.528
1726037733.033737,-113.167,284.614,-118.529
1726037733.033737,-113.167,284.614,-118.529
1726037733.062840,-113.199,284.465,-118.523
1726037733.072375,-113.214,284.436,-118.520
1726037733.082200,-113.230,284.407,-118.518
1726037733.092401,-113.246,284.378,-118.515
1726037733.092401,-113.246,284.378,-118.515
1726037733.092401,-113.246,284.378,-118.515
1726037733.123898,-113.293,284.290,-118.506
1726037733.123898,-113.293,284.290,-118.506
1726037733.143905,-113.326,284.230,-118.501
1726037733.143905,-113.326,284.230,-118.501
1726037733.162814,-113.358,284.171,-118.498
1726037733.171956,-113.374,284.141,-118.496
1726037733.182404,-113.391,284.110,-118.496
1726037733.192392,-113.407,284.080,-118.495
1726037733.202178,-113.424,284.050,-118.495
1726037733.202178,-113.424,284.050,-118.495
1726037733.202178,-113.424,284.050,-118.495
1726037733.202178,-113.424,284.050,-118.495
1726037733.243764,-113.491,283.928,-118.500
1726037733.253920,-113.508,283.897,-118.501
1726037733.262519,-113.525,283.866,-118.502
1726037733.271967,-113.542,283.835,-118.505
1726037733.282389,-113.559,283.804,-118.507
1726037733.292368,-113.576,283.773,-118.509
1726037733.302408,-113.593,283.742,-118.511
1726037733.313791,-113.611,283.710,-118.512
1726037733.313791,-113.611,283.710,-118.512
1726037733.333396,-113.645,283.648,-118.515
1726037733.333396,-113.645,283.648,-118.515
1726037733.333396,-113.645,283.648,-118.515
1726037733.362329,-113.697,283.553,-118.517
1726037733.372422,-113.714,283.521,-118.515
1726037733.372422,-113.714,283.521,-118.515
1726037733.392016,-113.749,283.457,-118.514
1726037733.402270,-113.767,283.425,-118.514
1726037733.402270,-113.767,283.425,-118.514
1726037733.423701,-113.801,283.360,-118.510
1726037733.433486,-113.819,283.328,-118.508
1726037733.443702,-113.836,283.296,-118.504
1726037733.453876,-113.854,283.263,-118.502
1726037733.462784,-113.871,283.230,-118.499
1726037733.472171,-113.889,283.198,-118.496
1726037733.481990,-113.907,283.165,-118.494
1726037733.492342,-113.924,283.132,-118.490
1726037733.502557,-113.942,283.099,-118.487
1726037733.502557,-113.942,283.099,-118.487
1726037733.525060,-113.977,283.033,-118.481
1726037733.536601,-114.000,283.005,-118.480
1726037733.543473,-114.018,282.972,-118.477
1726037733.553818,-114.036,282.939,-118.474
1726037733.562121,-114.054,282.905,-118.472
1726037733.562121,-114.054,282.905,-118.472
1726037733.582121,-114.089,282.839,-118.470
1726037733.591945,-114.107,282.805,-118.468
1726037733.602155,-114.125,282.772,-118.466
1726037733.613841,-114.143,282.738,-118.465
1726037733.613841,-114.143,282.738,-118.465
1726037733.633814,-114.180,282.671,-118.464
1726037733.643455,-114.198,282.637,-118.463
1726037733.653651,-114.216,282.603,-118.461
1726037733.662563,-114.234,282.569,-118.460
1726037733.672139,-114.252,282.535,-118.459
1726037733.691729,-114.289,282.467,-118.458
1726037733.691729,-114.289,282.467,-118.458
1726037733.702409,-114.307,282.433,-118.455
1726037733.713654,-114.326,282.398,-118.453
1726037733.723910,-114.344,282.364,-118.453
1726037733.733919,-114.363,282.330,-118.449
1726037733.743479,-114.381,282.295,-118.449
1726037733.753686,-114.400,282.261,-118.448
1726037733.753686,-114.400,282.261,-118.448
1726037733.782112,-114.456,282.157,-118.445
1726037733.782112,-114.456,282.157,-118.445
1726037733.801843,-114.493,282.088,-118.441
1726037733.801843,-114.493,282.088,-118.441
1726037733.813951,-114.512,282.053,-118.441
1726037733.823930,-114.530,282.019,-118.439
1726037733.833659,-114.549,281.984,-118.438
1726037733.843900,-114.568,281.949,-118.436
1726037733.862356,-114.606,281.879,-118.431
1726037733.872166,-114.624,281.844,-118.428
1726037733.882448,-114.643,281.809,-118.425
1726037733.892409,-114.662,281.774,-118.422
1726037733.901766,-114.681,281.739,-118.419
1726037733.901766,-114.681,281.739,-118.419
1726037733.923768,-114.719,281.669,-118.410
1726037733.923768,-114.719,281.669,-118.410
1726037733.933943,-114.738,281.634,-118.407
1726037733.953471,-114.776,281.564,-118.397
1726037733.962235,-114.795,281.529,-118.392
1726037733.972356,-114.814,281.494,-118.388
1726037733.982352,-114.833,281.458,-118.384
1726037733.992199,-114.852,281.423,-118.378
1726037734.002382,-114.871,281.388,-118.374
1726037734.002382,-114.871,281.388,-118.374
1726037734.014466,-114.890,281.353,-118.368
1726037734.033733,-114.929,281.282,-118.358
1726037734.033733,-114.929,281.282,-118.358
1726037734.053581,-114.954,281.144,-118.350
1726037734.062351,-114.973,281.109,-118.346
1726037734.072341,-114.992,281.073,-118.342
1726037734.082161,-115.012,281.038,-118.338
1726037734.092388,-115.031,281.002,-118.333
1726037734.102203,-115.050,280.967,-118.329
1726037734.113410,-115.069,280.931,-118.325
1726037734.123515,-115.088,280.895,-118.322
1726037734.133760,-115.107,280.860,-118.319
1726037734.143544,-115.126,280.824,-118.315
1726037734.153736,-115.145,280.788,-118.312
1726037734.162011,-115.164,280.753,-118.309
1726037734.172287,-115.184,280.717,-118.306
1726037734.182419,-115.203,280.681,-118.304
1726037734.192230,-115.222,280.645,-118.301
1726037734.202331,-115.241,280.609,-118.298
1726037734.213561,-115.260,280.573,-118.295
1726037734.223387,-115.279,280.538,-118.292
1726037734.233527,-115.298,280.502,-118.289
1726037734.243748,-115.317,280.466,-118.285
1726037734.253698,-115.336,280.430,-118.283
1726037734.253698,-115.336,280.430,-118.283
1726037734.272100,-115.374,280.358,-118.274
1726037734.282165,-115.394,280.322,-118.272
1726037734.292397,-115.413,280.286,-118.267
1726037734.302214,-115.432,280.250,-118.263
1726037734.313746,-115.451,280.214,-118.259
1726037734.323165,-115.470,280.178,-118.254
1726037734.333905,-115.490,280.141,-118.251
1726037734.343761,-115.509,280.105,-118.246
1726037734.353559,-115.528,280.069,-118.241
1726037734.362372,-115.547,280.033,-118.236
1726037734.371919,-115.567,279.996,-118.231
1726037734.382339,-115.586,279.960,-118.227
1726037734.392212,-115.605,279.924,-118.222
1726037734.402376,-115.625,279.887,-118.216
1726037734.413573,-115.644,279.851,-118.210
1726037734.423738,-115.663,279.814,-118.205
1726037734.433401,-115.683,279.778,-118.200
1726037734.443584,-115.702,279.741,-118.194
1726037734.453809,-115.722,279.704,-118.188
1726037734.462604,-115.741,279.668,-118.182
1726037734.472361,-115.761,279.631,-118.178
1726037734.481899,-115.780,279.594,-118.172
1726037734.481899,-115.780,279.594,-118.172
1726037734.502332,-115.819,279.521,-118.162
1726037734.514321,-115.839,279.484,-118.155
1726037734.524938,-115.858,279.447,-118.150
1726037734.536294,-115.884,279.415,-118.146
1726037734.536294,-115.884,279.415,-118.146
1726037734.553735,-115.923,279.341,-118.138
1726037734.562331,-115.942,279.304,-118.134
1726037734.572226,-115.962,279.267,-118.128
1726037734.582253,-115.981,279.230,-118.121
1726037734.592177,-116.001,279.193,-118.116
1726037734.602342,-116.021,279.155,-118.112
1726037734.613741,-116.040,279.118,-118.107
1726037734.623522,-116.060,279.081,-118.102
1726037734.623522,-116.060,279.081,-118.102
1726037734.643199,-116.099,279.006,-118.090
1726037734.653708,-116.119,278.968,-118.084
1726037734.662813,-116.139,278.931,-118.078
1726037734.672385,-116.158,278.893,-118.074
1726037734.672385,-116.158,278.893,-118.074
1726037734.692020,-116.198,278.818,-118.063
1726037734.702438,-116.218,278.780,-118.060
1726037734.713559,-116.237,278.742,-118.055
1726037734.723810,-116.257,278.704,-118.047
1726037734.723810,-116.257,278.704,-118.047
1726037734.743436,-116.297,278.628,-118.040
1726037734.753582,-116.317,278.590,-118.036
1726037734.762438,-116.337,278.552,-118.032
1726037734.772223,-116.357,278.514,-118.024
1726037734.782358,-116.377,278.476,-118.020
1726037734.792007,-116.397,278.438,-118.014
1726037734.802298,-116.416,278.400,-118.007
1726037734.813836,-116.436,278.361,-117.999
1726037734.823637,-116.456,278.323,-117.991
1726037734.833792,-116.476,278.285,-117.982
1726037734.843565,-116.496,278.246,-117.973
1726037734.853528,-116.516,278.208,-117.966
1726037734.862990,-116.536,278.169,-117.956
1726037734.872448,-116.556,278.131,-117.946
1726037734.882442,-116.576,278.092,-117.937
1726037734.892271,-116.596,278.053,-117.928
1726037734.901984,-116.616,278.015,-117.918
1726037734.913605,-116.636,277.976,-117.909
1726037734.923922,-116.656,277.937,-117.901
1726037734.933750,-116.676,277.898,-117.890
1726037734.943753,-116.696,277.859,-117.880
1726037734.953266,-116.716,277.820,-117.872
1726037734.962383,-116.736,277.781,-117.862
1726037734.972474,-116.757,277.742,-117.854
1726037734.982203,-116.777,277.703,-117.846
1726037734.992335,-116.797,277.664,-117.836
1726037735.001818,-116.817,277.624,-117.827
1726037735.014966,-116.838,277.585,-117.817
1726037735.023537,-116.858,277.546,-117.811
1726037735.033839,-116.878,277.506,-117.802
1726037735.046818,-116.891,277.395,-117.798
1726037735.053409,-116.911,277.356,-117.790
1726037735.062989,-116.931,277.316,-117.783
1726037735.072240,-116.952,277.277,-117.779
1726037735.082537,-116.972,277.237,-117.772
1726037735.102370,-117.014,277.158,-117.764
1726037735.102370,-117.014,277.158,-117.764
1726037735.102370,-117.014,277.158,-117.764
1726037735.102370,-117.014,277.158,-117.764
1726037735.133928,-117.075,277.039,-117.757
1726037735.143757,-117.096,276.999,-117.758
1726037735.153936,-117.117,276.959,-117.759
1726037735.172524,-117.159,276.879,-117.758
1726037735.182378,-117.180,276.839,-117.759
1726037735.182378,-117.180,276.839,-117.759
1726037735.202270,-117.222,276.760,-117.760
1726037735.213588,-117.242,276.719,-117.758
1726037735.223952,-117.263,276.679,-117.756
1726037735.223952,-117.263,276.679,-117.756
1726037735.243940,-117.305,276.599,-117.750
1726037735.253738,-117.326,276.559,-117.744
1726037735.262920,-117.347,276.519,-117.737
1726037735.272230,-117.368,276.479,-117.730
1726037735.282398,-117.389,276.439,-117.722
1726037735.292279,-117.410,276.398,-117.712
1726037735.302526,-117.431,276.358,-117.702
1726037735.313899,-117.452,276.318,-117.690
1726037735.323416,-117.472,276.278,-117.678
1726037735.333938,-117.493,276.237,-117.666
1726037735.333938,-117.493,276.237,-117.666
1726037735.353930,-117.535,276.157,-117.641
1726037735.362638,-117.556,276.116,-117.628
1726037735.372419,-117.576,276.076,-117.617
1726037735.381886,-117.597,276.036,-117.606
1726037735.392392,-117.618,275.995,-117.595
1726037735.402478,-117.638,275.955,-117.585
1726037735.413784,-117.659,275.914,-117.576
1726037735.423911,-117.680,275.874,-117.568
1726037735.433416,-117.701,275.834,-117.560
1726037735.433416,-117.701,275.834,-117.560
1726037735.453725,-117.742,275.753,-117.547
1726037735.463455,-117.763,275.712,-117.542
1726037735.472169,-117.784,275.672,-117.537
1726037735.482034,-117.805,275.632,-117.534
1726037735.492290,-117.825,275.591,-117.530
1726037735.502197,-117.846,275.551,-117.525
1726037735.502197,-117.846,275.551,-117.525
1726037735.524898,-117.888,275.470,-117.518
1726037735.536420,-117.926,275.441,-117.514
1726037735.543668,-117.946,275.400,-117.510
1726037735.553842,-117.967,275.360,-117.508
1726037735.562383,-117.988,275.319,-117.505
1726037735.572280,-118.008,275.279,-117.500
1726037735.581972,-118.029,275.238,-117.499
1726037735.592169,-118.050,275.197,-117.496
1726037735.592169,-118.050,275.197,-117.496
1726037735.613736,-118.091,275.116,-117.492
1726037735.613736,-118.091,275.116,-117.492
1726037735.613736,-118.091,275.116,-117.492
1726037735.643861,-118.153,274.995,-117.490
1726037735.653656,-118.174,274.954,-117.490
1726037735.653656,-118.174,274.954,-117.490
1726037735.672236,-118.215,274.873,-117.490
1726037735.682001,-118.236,274.833,-117.491
1726037735.692515,-118.257,274.792,-117.489
1726037735.702184,-118.278,274.752,-117.490
1726037735.713852,-118.298,274.711,-117.490
1726037735.723682,-118.319,274.671,-117.489
1726037735.733797,-118.340,274.630,-117.489
1726037735.743397,-118.361,274.589,-117.487
1726037735.743397,-118.361,274.589,-117.487
1726037735.762907,-118.402,274.508,-117.482
1726037735.772188,-118.423,274.468,-117.480
1726037735.782363,-118.444,274.427,-117.476
1726037735.791746,-118.465,274.387,-117.472
1726037735.802416,-118.486,274.346,-117.468
1726037735.802416,-118.486,274.346,-117.468
1726037735.823930,-118.527,274.265,-117.458
1726037735.833639,-118.548,274.224,-117.454
1726037735.843467,-118.569,274.184,-117.450
1726037735.853934,-118.590,274.143,-117.445
1726037735.863333,-118.611,274.103,-117.441
1726037735.872408,-118.632,274.062,-117.437
1726037735.882123,-118.653,274.022,-117.432
1726037735.891910,-118.674,273.981,-117.428
1726037735.902141,-118.695,273.941,-117.425
1726037735.913933,-118.716,273.900,-117.421
1726037735.923749,-118.737,273.859,-117.417
1726037735.933922,-118.758,273.819,-117.416
1726037735.943823,-118.779,273.778,-117.411
1726037735.953474,-118.800,273.738,-117.412
1726037735.962584,-118.821,273.697,-117.411
1726037735.972210,-118.842,273.656,-117.410
1726037735.972210,-118.842,273.656,-117.410
1726037735.992246,-118.884,273.575,-117.410
1726037736.001975,-118.906,273.534,-117.413
1726037736.014681,-118.927,273.494,-117.412
1726037736.023957,-118.948,273.453,-117.412
1726037736.033890,-118.969,273.412,-117.416
1726037736.046767,-118.986,273.295,-117.416
1726037736.053277,-119.008,273.254,-117.418
1726037736.063222,-119.029,273.213,-117.414
1726037736.063222,-119.029,273.213,-117.414
1726037736.082188,-119.071,273.131,-117.410
1726037736.092341,-119.093,273.090,-117.402
1726037736.101762,-119.114,273.049,-117.397
1726037736.113768,-119.135,273.008,-117.389
1726037736.123733,-119.156,272.967,-117.380
1726037736.133630,-119.177,272.926,-117.372
1726037736.143790,-119.198,272.885,-117.361
1726037736.153124,-119.219,272.843,-117.350
1726037736.163927,-119.240,272.802,-117.338
1726037736.173622,-119.261,272.761,-117.326
1726037736.182397,-119.282,272.720,-117.315
1726037736.192394,-119.303,272.678,-117.302
1726037736.202319,-119.324,272.637,-117.290
1726037736.213530,-119.345,272.596,-117.279
1726037736.223598,-119.366,272.554,-117.268
1726037736.233883,-119.387,272.513,-117.257
1726037736.243634,-119.408,272.471,-117.246
1726037736.253733,-119.429,272.430,-117.237
1726037736.263110,-119.450,272.388,-117.229
1726037736.272435,-119.471,272.347,-117.221
1726037736.282431,-119.492,272.305,-117.214
1726037736.296117,-119.513,272.264,-117.208
1726037736.302363,-119.534,272.222,-117.202
1726037736.302363,-119.534,272.222,-117.202
1726037736.323741,-119.576,272.139,-117.192
1726037736.323741,-119.576,272.139,-117.192
1726037736.343755,-119.618,272.056,-117.185
1726037736.353544,-119.639,272.015,-117.181
1726037736.362408,-119.659,271.973,-117.178
1726037736.362408,-119.659,271.973,-117.178
1726037736.392529,-119.722,271.848,-117.169
1726037736.402229,-119.743,271.807,-117.166
1726037736.402229,-119.743,271.807,-117.166
1726037736.413740,-119.764,271.765,-117.161
1726037736.423231,-119.785,271.724,-117.158
1726037736.433821,-119.806,271.682,-117.151
1726037736.443666,-119.827,271.640,-117.147
1726037736.453775,-119.848,271.599,-117.143
1726037736.471862,-119.890,271.515,-117.135
1726037736.482355,-119.911,271.474,-117.129
1726037736.492227,-119.932,271.432,-117.125
1726037736.502368,-119.952,271.390,-117.120
1726037736.502368,-119.952,271.390,-117.120
1726037736.514228,-119.973,271.348,-117.115
1726037736.524696,-119.994,271.307,-117.113
1726037736.536488,-120.030,271.273,-117.108
1726037736.543734,-120.051,271.231,-117.103
1726037736.562733,-120.093,271.147,-117.090
1726037736.572135,-120.114,271.105,-117.083
1726037736.572135,-120.114,271.105,-117.083
1726037736.592412,-120.156,271.021,-117.072
1726037736.602173,-120.177,270.980,-117.063
1726037736.613745,-120.198,270.938,-117.055
1726037736.623530,-120.219,270.896,-117.048
1726037736.633386,-120.241,270.854,-117.038
1726037736.643768,-120.262,270.812,-117.029
1726037736.653545,-120.283,270.770,-117.019
1726037736.663500,-120.304,270.728,-117.011
1726037736.672163,-120.325,270.686,-117.003
1726037736.682000,-120.346,270.644,-116.994
1726037736.692262,-120.367,270.602,-116.985
1726037736.702377,-120.388,270.560,-116.975
1726037736.713697,-120.410,270.518,-116.967
1726037736.723728,-120.431,270.476,-116.958
1726037736.733365,-120.452,270.434,-116.950
1726037736.743569,-120.473,270.392,-116.943
1726037736.753731,-120.494,270.350,-116.935
1726037736.762767,-120.516,270.308,-116.927
1726037736.772417,-120.537,270.266,-116.922
1726037736.782082,-120.558,270.224,-116.914
1726037736.792380,-120.579,270.182,-116.909
1726037736.802162,-120.601,270.140,-116.904
1726037736.813945,-120.622,270.098,-116.902
1726037736.823894,-120.644,270.056,-116.903
1726037736.833552,-120.665,270.014,-116.897
1726037736.843348,-120.686,269.972,-116.899
1726037736.853613,-120.708,269.930,-116.902
1726037736.863485,-120.729,269.888,-116.903
1726037736.872213,-120.751,269.846,-116.908
1726037736.882412,-120.772,269.804,-116.912
1726037736.891826,-120.794,269.761,-116.918
1726037736.902624,-120.815,269.719,-116.923
1726037736.913788,-120.837,269.677,-116.929
1726037736.923723,-120.858,269.635,-116.935
1726037736.933776,-120.880,269.593,-116.940
1726037736.943205,-120.901,269.551,-116.947
1726037736.953726,-120.923,269.509,-116.952
1726037736.962391,-120.944,269.467,-116.956
1726037736.962391,-120.944,269.467,-116.956
1726037736.982171,-120.987,269.382,-116.961
1726037736.992023,-121.009,269.340,-116.963
1726037737.002375,-121.030,269.298,-116.964
1726037737.014876,-121.052,269.256,-116.963
1726037737.023716,-121.073,269.214,-116.961
1726037737.033584,-121.095,269.172,-116.959
1726037737.033584,-121.095,269.172,-116.959
1726037737.053767,-121.137,269.012,-116.954
1726037737.063581,-121.159,268.970,-116.950
1726037737.072291,-121.180,268.928,-116.945
1726037737.082664,-121.202,268.885,-116.939
1726037737.092402,-121.223,268.843,-116.935
1726037737.101884,-121.245,268.801,-116.932
1726037737.113951,-121.266,268.758,-116.927
1726037737.113951,-121.266,268.758,-116.927
1726037737.133933,-121.309,268.673,-116.915
1726037737.143738,-121.331,268.631,-116.913
1726037737.153563,-121.352,268.588,-116.915
1726037737.163081,-121.374,268.546,-116.910
1726037737.172390,-121.395,268.503,-116.909
1726037737.182428,-121.417,268.460,-116.906
1726037737.192213,-121.438,268.418,-116.906
1726037737.202052,-121.460,268.376,-116.911
1726037737.202052,-121.460,268.376,-116.911
1726037737.223936,-121.503,268.291,-116.913
1726037737.233761,-121.525,268.248,-116.912
1726037737.243915,-121.546,268.205,-116.914
1726037737.253408,-121.568,268.163,-116.918
1726037737.263953,-121.589,268.121,-116.920
